"table_name","column_name","data_type","is_nullable","column_default","constraints"
"course_days","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY, FOREIGN KEY"
"course_days","week_id","uuid","YES","null","UNIQUE"
"course_days","day_number","integer","NO","null","UNIQUE"
"course_days","title","text","NO","null","null"
"course_days","description","text","YES","null","null"
"course_days","has_content","boolean","YES","true","null"
"course_days","created_at","timestamp with time zone","YES","now()","null"
"course_enrollments","id","uuid","NO","gen_random_uuid()","FOREIGN KEY, PRIMARY KEY, FOREIGN KEY"
"course_enrollments","course_id","uuid","YES","null","UNIQUE"
"course_enrollments","user_id","uuid","YES","null","UNIQUE"
"course_enrollments","enrolled_at","timestamp with time zone","NO","now()","null"
"course_enrollments","expires_at","timestamp with time zone","YES","null","null"
"course_enrollments","status","text","NO","'active'::text","CHECK"
"course_enrollments","created_at","timestamp with time zone","NO","now()","null"
"course_enrollments","updated_at","timestamp with time zone","NO","now()","null"
"course_groups","id","uuid","NO","gen_random_uuid()","FOREIGN KEY, PRIMARY KEY"
"course_groups","course_id","uuid","YES","null","null"
"course_groups","name","text","NO","null","null"
"course_groups","description","text","YES","null","null"
"course_groups","created_at","timestamp with time zone","NO","now()","null"
"course_groups","updated_at","timestamp with time zone","NO","now()","null"
"course_media","id","uuid","NO","gen_random_uuid()","FOREIGN KEY, PRIMARY KEY"
"course_media","media_id","uuid","NO","null","null"
"course_media","resource_id","uuid","NO","null","null"
"course_media","resource_type","text","NO","null","null"
"course_media","display_order","integer","YES","null","null"
"course_media","created_at","timestamp with time zone","NO","now()","null"
"course_progress","id","uuid","NO","gen_random_uuid()","FOREIGN KEY, PRIMARY KEY, FOREIGN KEY"
"course_progress","user_id","uuid","YES","null","UNIQUE"
"course_progress","course_id","uuid","YES","null","UNIQUE"
"course_progress","completed_steps","integer","NO","0","null"
"course_progress","total_steps","integer","NO","0","null"
"course_progress","progress_percentage","numeric","NO","0","null"
"course_progress","last_updated_at","timestamp with time zone","NO","now()","null"
"course_progress","created_at","timestamp with time zone","NO","now()","null"
"course_steps","id","uuid","NO","uuid_generate_v4()","FOREIGN KEY, PRIMARY KEY, FOREIGN KEY"
"course_steps","day_id","uuid","YES","null","UNIQUE"
"course_steps","step_number","integer","NO","null","UNIQUE"
"course_steps","title","text","NO","null","null"
"course_steps","content","text","YES","null","null"
"course_steps","step_type","USER-DEFINED","NO","null","null"
"course_steps","is_required","boolean","YES","true","null"
"course_steps","created_at","timestamp with time zone","YES","now()","null"
"course_steps","quiz_id","uuid","YES","null","null"
"course_steps","updated_at","timestamp with time zone","YES","now()","null"
"course_weeks","id","uuid","NO","uuid_generate_v4()","FOREIGN KEY, PRIMARY KEY"
"course_weeks","course_id","uuid","YES","null","UNIQUE"
"course_weeks","week_number","integer","NO","null","UNIQUE"
"course_weeks","title","text","NO","null","null"
"course_weeks","description","text","YES","null","null"
"course_weeks","is_published","boolean","YES","false","null"
"course_weeks","created_at","timestamp with time zone","YES","now()","null"
"courses","id","uuid","NO","uuid_generate_v4()","FOREIGN KEY, PRIMARY KEY"
"courses","title","text","NO","null","null"
"courses","description","text","YES","null","null"
"courses","thumbnail_url","text","YES","null","null"
"courses","preview_content","text","YES","null","null"
"courses","price","numeric","YES","null","null"
"courses","is_published","boolean","YES","false","null"
"courses","duration_weeks","integer","YES","12","null"
"courses","created_by","uuid","YES","null","null"
"courses","created_at","timestamp with time zone","YES","now()","null"
"courses","updated_at","timestamp with time zone","YES","now()","null"
"flashcards","id","uuid","NO","gen_random_uuid()","PRIMARY KEY, FOREIGN KEY"
"flashcards","step_id","uuid","YES","null","null"
"flashcards","english_word","text","NO","null","null"
"flashcards","turkish_word","text","NO","null","null"
"flashcards","example_sentence","text","NO","null","null"
"flashcards","pronunciation_url","text","YES","null","null"
"flashcards","created_at","timestamp with time zone","NO","now()","null"
"flashcards","updated_at","timestamp with time zone","NO","now()","null"
"group_members","id","uuid","NO","gen_random_uuid()","FOREIGN KEY, PRIMARY KEY, FOREIGN KEY"
"group_members","group_id","uuid","YES","null","UNIQUE, UNIQUE"
"group_members","user_id","uuid","YES","null","UNIQUE, UNIQUE"
"group_members","joined_at","timestamp with time zone","NO","now()","null"
"group_members","created_at","timestamp with time zone","NO","now()","null"
"group_messages","id","uuid","NO","gen_random_uuid()","FOREIGN KEY, PRIMARY KEY, FOREIGN KEY"
"group_messages","group_id","uuid","YES","null","null"
"group_messages","sender_id","uuid","YES","null","null"
"group_messages","message","text","NO","null","null"
"group_messages","message_type","text","NO","'text'::text","null"
"group_messages","metadata","jsonb","YES","null","null"
"group_messages","created_at","timestamp with time zone","NO","now()","null"
"group_messages","updated_at","timestamp with time zone","NO","now()","null"
"instructor_groups","id","uuid","NO","gen_random_uuid()","FOREIGN KEY, FOREIGN KEY, PRIMARY KEY"
"instructor_groups","instructor_id","uuid","YES","null","UNIQUE"
"instructor_groups","group_id","uuid","YES","null","UNIQUE"
"instructor_groups","created_at","timestamp with time zone","NO","now()","null"
"instructor_groups","updated_at","timestamp with time zone","NO","now()","null"
"instructor_students","id","uuid","NO","gen_random_uuid()","FOREIGN KEY, FOREIGN KEY, PRIMARY KEY, FOREIGN KEY"
"instructor_students","instructor_id","uuid","YES","null","UNIQUE, UNIQUE, UNIQUE"
"instructor_students","student_id","uuid","YES","null","UNIQUE, UNIQUE, UNIQUE"
"instructor_students","created_at","timestamp with time zone","NO","now()","null"
"instructor_students","updated_at","timestamp with time zone","NO","now()","null"
"instructor_students","course_id","uuid","YES","null","UNIQUE"
"instructor_students","assigned_at","timestamp with time zone","NO","CURRENT_TIMESTAMP","null"
"matching_game_words","id","uuid","NO","gen_random_uuid()","PRIMARY KEY, FOREIGN KEY"
"matching_game_words","step_id","uuid","YES","null","null"
"matching_game_words","english_word","text","NO","null","null"
"matching_game_words","turkish_word","text","NO","null","null"
