"table_schema","constraint_name","table_name","column_name","foreign_table_schema","foreign_table_name","foreign_column_name"
"public","course_enrollments_course_id_fkey","course_enrollments","course_id","public","courses","id"
"public","course_enrollments_user_id_fkey","course_enrollments","user_id","public","users","id"
"public","user_media_user_id_fkey","user_media","user_id","public","users","id"
"public","step_completions_step_id_fkey","step_completions","step_id","public","course_steps","id"
"public","step_completions_user_id_fkey","step_completions","user_id","public","users","id"
"public","course_progress_course_id_fkey","course_progress","course_id","public","courses","id"
"public","course_progress_user_id_fkey","course_progress","user_id","public","users","id"
"public","quiz_submissions_quiz_id_fkey","quiz_submissions","quiz_id","public","quizzes","id"
"public","instructor_groups_group_id_fkey","instructor_groups","group_id","public","course_groups","id"
"public","instructor_groups_instructor_id_fkey","instructor_groups","instructor_id","public","users","id"
"public","course_weeks_course_id_fkey","course_weeks","course_id","public","courses","id"
"public","course_days_week_id_fkey","course_days","week_id","public","course_weeks","id"
"public","courses_created_by_fkey","courses","created_by","public","users","id"
"public","quizzes_step_id_fkey","quizzes","step_id","public","course_steps","id"
"public","quiz_questions_quiz_id_fkey","quiz_questions","quiz_id","public","quizzes","id"
"public","quiz_answers_question_id_fkey","quiz_answers","question_id","public","quiz_questions","id"
"public","course_steps_day_id_fkey","course_steps","day_id","public","course_days","id"
"public","course_steps_quiz_id_fkey","course_steps","quiz_id","public","quizzes","id"
"public","course_groups_course_id_fkey","course_groups","course_id","public","courses","id"
"public","group_messages_group_id_fkey","group_messages","group_id","public","course_groups","id"
"public","group_messages_sender_id_fkey","group_messages","sender_id","public","users","id"
"public","group_members_group_id_fkey","group_members","group_id","public","course_groups","id"
"public","group_members_user_id_fkey","group_members","user_id","public","users","id"
"public","user_notes_step_id_fkey","user_notes","step_id","public","course_steps","id"
"public","user_notes_user_id_fkey","user_notes","user_id","public","users","id"
"public","media_files_uploader_id_fkey","media_files","uploader_id","public","users","id"
"public","course_media_media_id_fkey","course_media","media_id","public","media_files","id"
"public","flashcards_step_id_fkey","flashcards","step_id","public","course_steps","id"
"public","matching_game_words_step_id_fkey","matching_game_words","step_id","public","course_steps","id"
"public","instructor_students_course_id_fkey","instructor_students","course_id","public","courses","id"
"public","instructor_students_instructor_id_fkey","instructor_students","instructor_id","public","users","id"
"public","instructor_students_student_id_fkey","instructor_students","student_id","public","users","id"
