"schemaname","tablename","indexname","indexdef"
"public","course_days","course_days_pkey","CREATE UNIQUE INDEX course_days_pkey ON public.course_days USING btree (id)"
"public","course_days","course_days_week_id_day_number_key","CREATE UNIQUE INDEX course_days_week_id_day_number_key ON public.course_days USING btree (week_id, day_number)"
"public","course_days","idx_course_days_week_day","CREATE INDEX idx_course_days_week_day ON public.course_days USING btree (week_id, day_number)"
"public","course_enrollments","course_enrollments_course_id_user_id_key","CREATE UNIQUE INDEX course_enrollments_course_id_user_id_key ON public.course_enrollments USING btree (course_id, user_id)"
"public","course_enrollments","course_enrollments_pkey","CREATE UNIQUE INDEX course_enrollments_pkey ON public.course_enrollments USING btree (id)"
"public","course_groups","course_groups_pkey","CREATE UNIQUE INDEX course_groups_pkey ON public.course_groups USING btree (id)"
"public","course_groups","idx_course_groups_course_id","CREATE INDEX idx_course_groups_course_id ON public.course_groups USING btree (course_id)"
"public","course_groups","idx_course_groups_created_at","CREATE INDEX idx_course_groups_created_at ON public.course_groups USING btree (created_at)"
"public","course_groups","idx_course_groups_name","CREATE INDEX idx_course_groups_name ON public.course_groups USING btree (name)"
"public","course_media","course_media_pkey","CREATE UNIQUE INDEX course_media_pkey ON public.course_media USING btree (id)"
"public","course_media","idx_course_media_media","CREATE INDEX idx_course_media_media ON public.course_media USING btree (media_id)"
"public","course_media","idx_course_media_resource","CREATE INDEX idx_course_media_resource ON public.course_media USING btree (resource_type, resource_id)"
"public","course_progress","course_progress_pkey","CREATE UNIQUE INDEX course_progress_pkey ON public.course_progress USING btree (id)"
"public","course_progress","course_progress_user_id_course_id_key","CREATE UNIQUE INDEX course_progress_user_id_course_id_key ON public.course_progress USING btree (user_id, course_id)"
"public","course_progress","idx_course_progress_user_course","CREATE INDEX idx_course_progress_user_course ON public.course_progress USING btree (user_id, course_id)"
"public","course_steps","course_steps_day_id_step_number_key","CREATE UNIQUE INDEX course_steps_day_id_step_number_key ON public.course_steps USING btree (day_id, step_number)"
"public","course_steps","course_steps_pkey","CREATE UNIQUE INDEX course_steps_pkey ON public.course_steps USING btree (id)"
"public","course_steps","idx_course_steps_day_step","CREATE INDEX idx_course_steps_day_step ON public.course_steps USING btree (day_id, step_number)"
"public","course_weeks","course_weeks_course_id_week_number_key","CREATE UNIQUE INDEX course_weeks_course_id_week_number_key ON public.course_weeks USING btree (course_id, week_number)"
"public","course_weeks","course_weeks_pkey","CREATE UNIQUE INDEX course_weeks_pkey ON public.course_weeks USING btree (id)"
"public","course_weeks","idx_course_weeks_course_week","CREATE INDEX idx_course_weeks_course_week ON public.course_weeks USING btree (course_id, week_number)"
"public","courses","courses_pkey","CREATE UNIQUE INDEX courses_pkey ON public.courses USING btree (id)"
"public","flashcards","flashcards_pkey","CREATE UNIQUE INDEX flashcards_pkey ON public.flashcards USING btree (id)"
