"schemaname","tablename","policyname","permissive","roles","cmd","qual","with_check"
"public","course_days","Admins can delete course days","PERMISSIVE","{public}","DELETE","(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.role = 'admin'::user_role))))","null"
"public","course_days","Admins can manage course days","PERMISSIVE","{public}","ALL","(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.role = 'admin'::user_role))))","(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.role = 'admin'::user_role))))"
"public","course_days","Allow public read access to course days","PERMISSIVE","{public}","SELECT","true","null"
"public","course_days","Anyone can access demo course days","PERMISSIVE","{public}","SELECT","(EXISTS ( SELECT 1
   FROM (course_weeks cw
     JOIN courses c ON ((cw.course_id = c.id)))
  WHERE ((cw.id = course_days.week_id) AND (c.is_demo = true))))","null"
"public","course_days","Enrolled students can view course days","PERMISSIVE","{authenticated}","SELECT","((EXISTS ( SELECT 1
   FROM (course_enrollments ce
     JOIN course_weeks cw ON ((ce.course_id = cw.course_id)))
  WHERE ((cw.id = course_days.week_id) AND (ce.user_id = auth.uid()) AND (ce.status = 'active'::text)))) OR (EXISTS ( SELECT 1
   FROM (course_weeks cw
     JOIN courses c ON ((cw.course_id = c.id)))
  WHERE ((cw.id = course_days.week_id) AND (c.created_by = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.role = 'admin'::user_role)))))","null"
"public","course_enrollments","Admins can manage enrollments","PERMISSIVE","{authenticated}","ALL","(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.role = 'admin'::user_role))))","(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.role = 'admin'::user_role))))"
"public","course_enrollments","Users can view their own enrollments","PERMISSIVE","{authenticated}","SELECT","((user_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.role = 'admin'::user_role)))))","null"
"public","course_groups","Admins can manage course groups","PERMISSIVE","{public}","ALL","(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.role = 'admin'::user_role))))","(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.role = 'admin'::user_role))))"
"public","course_groups","Allow admins to manage course groups","PERMISSIVE","{authenticated}","ALL","(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.role = 'admin'::user_role))))","(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.role = 'admin'::user_role))))"
"public","course_groups","Allow viewing course groups","PERMISSIVE","{authenticated}","SELECT","true","null"
"public","course_groups","View course groups","PERMISSIVE","{authenticated}","SELECT","true","null"
"public","course_media","Admins can manage course media","PERMISSIVE","{public}","ALL","(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.role = 'admin'::user_role))))","(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.role = 'admin'::user_role))))"
"public","course_media","Authenticated users can view course media","PERMISSIVE","{authenticated}","SELECT","true","null"
"public","course_progress","Instructors can view their students progress","PERMISSIVE","{authenticated}","SELECT","((EXISTS ( SELECT 1
   FROM instructor_students
  WHERE ((instructor_students.instructor_id = auth.uid()) AND (instructor_students.student_id = course_progress.user_id)))) OR (EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.role = 'admin'::user_role)))))","null"
"public","course_progress","Progress is updated automatically","PERMISSIVE","{authenticated}","INSERT","null","(user_id = auth.uid())"
"public","course_progress","Progress is updated automatically for updates","PERMISSIVE","{authenticated}","UPDATE","(user_id = auth.uid())","(user_id = auth.uid())"
"public","course_progress","Users can view their own progress","PERMISSIVE","{authenticated}","SELECT","(user_id = auth.uid())","null"
"public","course_steps","Admins can delete course steps","PERMISSIVE","{public}","DELETE","(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.role = 'admin'::user_role))))","null"
