"table_name","column_name","data_type","column_default","is_nullable","character_maximum_length"
"course_days","id","uuid","uuid_generate_v4()","NO","null"
"course_days","week_id","uuid","null","YES","null"
"course_days","day_number","integer","null","NO","null"
"course_days","title","text","null","NO","null"
"course_days","description","text","null","YES","null"
"course_days","has_content","boolean","true","YES","null"
"course_days","created_at","timestamp with time zone","now()","YES","null"
"course_enrollments","id","uuid","gen_random_uuid()","NO","null"
"course_enrollments","course_id","uuid","null","YES","null"
"course_enrollments","user_id","uuid","null","YES","null"
"course_enrollments","enrolled_at","timestamp with time zone","now()","NO","null"
"course_enrollments","expires_at","timestamp with time zone","null","YES","null"
"course_enrollments","status","text","'active'::text","NO","null"
"course_enrollments","created_at","timestamp with time zone","now()","NO","null"
"course_enrollments","updated_at","timestamp with time zone","now()","NO","null"
"course_groups","id","uuid","gen_random_uuid()","NO","null"
"course_groups","course_id","uuid","null","YES","null"
"course_groups","name","text","null","NO","null"
"course_groups","description","text","null","YES","null"
"course_groups","created_at","timestamp with time zone","now()","NO","null"
"course_groups","updated_at","timestamp with time zone","now()","NO","null"
"course_media","id","uuid","gen_random_uuid()","NO","null"
"course_media","media_id","uuid","null","NO","null"
"course_media","resource_id","uuid","null","NO","null"
"course_media","resource_type","text","null","NO","null"
"course_media","display_order","integer","null","YES","null"
"course_media","created_at","timestamp with time zone","now()","NO","null"
"course_progress","id","uuid","gen_random_uuid()","NO","null"
"course_progress","user_id","uuid","null","YES","null"
"course_progress","course_id","uuid","null","YES","null"
"course_progress","completed_steps","integer","0","NO","null"
"course_progress","total_steps","integer","0","NO","null"
"course_progress","progress_percentage","numeric","0","NO","null"
"course_progress","last_updated_at","timestamp with time zone","now()","NO","null"
"course_progress","created_at","timestamp with time zone","now()","NO","null"
"course_steps","id","uuid","uuid_generate_v4()","NO","null"
"course_steps","day_id","uuid","null","YES","null"
"course_steps","step_number","integer","null","NO","null"
"course_steps","title","text","null","NO","null"
"course_steps","content","text","null","YES","null"
"course_steps","step_type","USER-DEFINED","null","NO","null"
"course_steps","is_required","boolean","true","YES","null"
"course_steps","created_at","timestamp with time zone","now()","YES","null"
"course_steps","quiz_id","uuid","null","YES","null"
"course_steps","updated_at","timestamp with time zone","now()","YES","null"
"course_weeks","id","uuid","uuid_generate_v4()","NO","null"
"course_weeks","course_id","uuid","null","YES","null"
"course_weeks","week_number","integer","null","NO","null"
"course_weeks","title","text","null","NO","null"
"course_weeks","description","text","null","YES","null"
"course_weeks","is_published","boolean","false","YES","null"
"course_weeks","created_at","timestamp with time zone","now()","YES","null"
"courses","id","uuid","uuid_generate_v4()","NO","null"
"courses","title","text","null","NO","null"
"courses","description","text","null","YES","null"
"courses","thumbnail_url","text","null","YES","null"
"courses","preview_content","text","null","YES","null"
"courses","price","numeric","null","YES","null"
"courses","is_published","boolean","false","YES","null"
"courses","duration_weeks","integer","12","YES","null"
"courses","created_by","uuid","null","YES","null"
"courses","created_at","timestamp with time zone","now()","YES","null"
"courses","updated_at","timestamp with time zone","now()","YES","null"
"courses","is_demo","boolean","false","YES","null"
"flashcards","id","uuid","gen_random_uuid()","NO","null"
"flashcards","step_id","uuid","null","YES","null"
"flashcards","english_word","text","null","NO","null"
"flashcards","turkish_word","text","null","NO","null"
"flashcards","example_sentence","text","null","NO","null"
"flashcards","pronunciation_url","text","null","YES","null"
"flashcards","created_at","timestamp with time zone","now()","NO","null"
"flashcards","updated_at","timestamp with time zone","now()","NO","null"
"group_members","id","uuid","gen_random_uuid()","NO","null"
"group_members","group_id","uuid","null","YES","null"
"group_members","user_id","uuid","null","YES","null"
"group_members","joined_at","timestamp with time zone","now()","NO","null"
"group_members","created_at","timestamp with time zone","now()","NO","null"
"group_messages","id","uuid","gen_random_uuid()","NO","null"
"group_messages","group_id","uuid","null","YES","null"
"group_messages","sender_id","uuid","null","YES","null"
"group_messages","message","text","null","NO","null"
"group_messages","message_type","text","'text'::text","NO","null"
"group_messages","metadata","jsonb","null","YES","null"
"group_messages","created_at","timestamp with time zone","now()","NO","null"
"group_messages","updated_at","timestamp with time zone","now()","NO","null"
"instructor_groups","id","uuid","gen_random_uuid()","NO","null"
"instructor_groups","instructor_id","uuid","null","YES","null"
"instructor_groups","group_id","uuid","null","YES","null"
"instructor_groups","created_at","timestamp with time zone","now()","NO","null"
"instructor_groups","updated_at","timestamp with time zone","now()","NO","null"
"instructor_students","id","uuid","gen_random_uuid()","NO","null"
"instructor_students","instructor_id","uuid","null","YES","null"
"instructor_students","student_id","uuid","null","YES","null"
"instructor_students","created_at","timestamp with time zone","now()","NO","null"
"instructor_students","updated_at","timestamp with time zone","now()","NO","null"
"instructor_students","course_id","uuid","null","YES","null"
"instructor_students","assigned_at","timestamp with time zone","CURRENT_TIMESTAMP","NO","null"
"matching_game_words","id","uuid","gen_random_uuid()","NO","null"
"matching_game_words","step_id","uuid","null","YES","null"
"matching_game_words","english_word","text","null","NO","null"
"matching_game_words","turkish_word","text","null","NO","null"
"matching_game_words","created_at","timestamp with time zone","now()","NO","null"
"matching_game_words","updated_at","timestamp with time zone","now()","NO","null"
"media_files","id","uuid","gen_random_uuid()","NO","null"
"media_files","title","text","null","YES","null"
"media_files","description","text","null","YES","null"
"media_files","file_path","text","null","NO","null"
"media_files","file_url","text","null","YES","null"
"media_files","media_type","text","null","NO","null"
"media_files","uploader_id","uuid","null","YES","null"
"media_files","created_at","timestamp with time zone","now()","NO","null"
"media_files","updated_at","timestamp with time zone","now()","NO","null"
"notifications","id","uuid","gen_random_uuid()","NO","null"
"notifications","user_id","uuid","null","YES","null"
"notifications","type","USER-DEFINED","null","NO","null"
"notifications","title","text","null","NO","null"
"notifications","message","text","null","NO","null"
"notifications","data","jsonb","'{}'::jsonb","YES","null"
"notifications","is_read","boolean","false","YES","null"
"notifications","created_at","timestamp with time zone","timezone('utc'::text, now())","YES","null"
"notifications","word_id","uuid","null","YES","null"
"notifications","submission_id","uuid","null","YES","null"
"notifications","comment_id","uuid","null","YES","null"
"profiles","id","uuid","null","NO","null"
"profiles","full_name","text","null","YES","null"
"profiles","avatar_url","text","null","YES","null"
"profiles","created_at","timestamp with time zone","now()","YES","null"
"profiles","updated_at","timestamp with time zone","now()","YES","null"
"quiz_answers","id","uuid","uuid_generate_v4()","NO","null"
"quiz_answers","question_id","uuid","null","YES","null"
"quiz_answers","answer","text","null","NO","null"
"quiz_answers","is_correct","boolean","false","YES","null"
"quiz_answers","created_at","timestamp with time zone","now()","YES","null"
"quiz_questions","id","uuid","uuid_generate_v4()","NO","null"
"quiz_questions","quiz_id","uuid","null","YES","null"
"quiz_questions","question","text","null","NO","null"
"quiz_questions","order_number","integer","null","NO","null"
"quiz_questions","created_at","timestamp with time zone","now()","YES","null"
"quiz_submissions","id","uuid","uuid_generate_v4()","NO","null"
"quiz_submissions","user_id","uuid","null","YES","null"
"quiz_submissions","quiz_id","uuid","null","YES","null"
"quiz_submissions","answers","jsonb","null","NO","null"
"quiz_submissions","score","integer","null","YES","null"
"quiz_submissions","passed","boolean","null","YES","null"
"quiz_submissions","created_at","timestamp with time zone","timezone('utc'::text, now())","YES","null"
"quizzes","id","uuid","uuid_generate_v4()","NO","null"
"quizzes","id","uuid","uuid_generate_v4()","NO","null"
"quizzes","newsletter_id","uuid","null","NO","null"
"quizzes","step_id","uuid","null","YES","null"
"quizzes","title","text","null","NO","null"
"quizzes","title","text","null","NO","null"
"quizzes","created_at","timestamp with time zone","now()","YES","null"
"quizzes","description","text","null","YES","null"
"quizzes","updated_at","timestamp with time zone","now()","YES","null"
"quizzes","passing_score","integer","70","YES","null"
"quizzes","is_required","boolean","true","YES","null"
"quizzes","created_by","uuid","null","NO","null"
"quizzes","created_at","timestamp with time zone","now()","YES","null"
"step_completions","id","uuid","gen_random_uuid()","NO","null"
"step_completions","user_id","uuid","null","YES","null"
"step_completions","step_id","uuid","null","YES","null"
"step_completions","completed_at","timestamp with time zone","now()","NO","null"
"step_completions","created_at","timestamp with time zone","now()","NO","null"
"user_media","id","uuid","gen_random_uuid()","NO","null"
"user_media","user_id","uuid","null","YES","null"
"user_media","file_path","text","null","NO","null"
"user_media","file_url","text","null","YES","null"
"user_media","media_type","text","null","NO","null"
"user_media","created_at","timestamp with time zone","now()","NO","null"
"user_media","updated_at","timestamp with time zone","now()","NO","null"
"user_notes","id","uuid","gen_random_uuid()","NO","null"
"user_notes","user_id","uuid","null","YES","null"
"user_notes","step_id","uuid","null","YES","null"
"user_notes","content","text","null","NO","null"
"user_notes","created_at","timestamp with time zone","now()","NO","null"
"user_notes","updated_at","timestamp with time zone","now()","NO","null"
"users","id","uuid","null","NO","null"
"users","instance_id","uuid","null","YES","null"
"users","id","uuid","null","NO","null"
"users","full_name","text","null","NO","null"
"users","aud","character varying","null","YES","255"
"users","email","text","null","NO","null"
"users","role","character varying","null","YES","255"
"users","role","USER-DEFINED","'user'::user_role","YES","null"
"users","created_at","timestamp with time zone","now()","YES","null"
"users","email","character varying","null","YES","255"
"users","updated_at","timestamp with time zone","now()","YES","null"
"users","encrypted_password","character varying","null","YES","255"
"users","email_confirmed_at","timestamp with time zone","null","YES","null"
"users","invited_at","timestamp with time zone","null","YES","null"
"users","profile_pic_url","text","null","YES","null"
"users","confirmation_token","character varying","null","YES","255"
"users","confirmation_sent_at","timestamp with time zone","null","YES","null"
"users","recovery_token","character varying","null","YES","255"
"users","recovery_sent_at","timestamp with time zone","null","YES","null"
"users","email_change_token_new","character varying","null","YES","255"
"users","email_change","character varying","null","YES","255"
"users","email_change_sent_at","timestamp with time zone","null","YES","null"
"users","last_sign_in_at","timestamp with time zone","null","YES","null"
"users","raw_app_meta_data","jsonb","null","YES","null"
"users","raw_user_meta_data","jsonb","null","YES","null"
"users","is_super_admin","boolean","null","YES","null"
"users","created_at","timestamp with time zone","null","YES","null"
"users","updated_at","timestamp with time zone","null","YES","null"
"users","phone","text","NULL::character varying","YES","null"
"users","phone_confirmed_at","timestamp with time zone","null","YES","null"
"users","phone_change","text","''::character varying","YES","null"
"users","phone_change_token","character varying","''::character varying","YES","255"
"users","phone_change_sent_at","timestamp with time zone","null","YES","null"
"users","confirmed_at","timestamp with time zone","null","YES","null"
"users","email_change_token_current","character varying","''::character varying","YES","255"
"users","email_change_confirm_status","smallint","0","YES","null"
"users","banned_until","timestamp with time zone","null","YES","null"
"users","reauthentication_token","character varying","''::character varying","YES","255"
"users","reauthentication_sent_at","timestamp with time zone","null","YES","null"
"users","is_sso_user","boolean","false","NO","null"
"users","deleted_at","timestamp with time zone","null","YES","null"
"users","is_anonymous","boolean","false","NO","null"
