"table_schema","table_name","trigger_schema","trigger_name","event","activation","definition"
"public","course_enrollments","public","update_course_enrollments_updated_at","UPDATE","BEFORE","EXECUTE FUNCTION update_updated_at_column()"
"public","course_groups","public","update_course_groups_updated_at","UPDATE","BEFORE","EXECUTE FUNCTION update_updated_at_column()"
"public","course_steps","public","update_course_steps_updated_at","UPDATE","BEFORE","EXECUTE FUNCTION update_updated_at_column()"
"public","courses","public","update_courses_updated_at","UPDATE","BEFORE","EXECUTE FUNCTION update_updated_at_column()"
"public","flashcards","public","update_flashcards_updated_at","UPDATE","BEFORE","EXECUTE FUNCTION update_updated_at_column()"
"public","group_members","public","group_membership_changes_trigger","INSERT, UPDATE","AFTER","EXECUTE FUNCTION handle_group_membership_changes()"
"public","group_members","public","group_membership_removal_trigger","DELETE","AFTER","EXECUTE FUNCTION handle_group_membership_removal()"
"public","group_members","public","instructor_group_member_trigger","INSERT","AFTER","EXECUTE FUNCTION handle_instructor_group_member()"
"public","group_messages","public","update_group_messages_updated_at","UPDATE","BEFORE","EXECUTE FUNCTION update_updated_at_column()"
"public","instructor_groups","public","after_instructor_group_insert","INSERT","AFTER","EXECUTE FUNCTION add_group_students_to_instructor()"
"public","instructor_students","public","update_instructor_students_updated_at","UPDATE","BEFORE","EXECUTE FUNCTION update_updated_at_column()"
"public","matching_game_words","public","update_matching_game_words_updated_at","UPDATE","BEFORE","EXECUTE FUNCTION update_updated_at_column()"
"public","media_files","public","update_media_files_updated_at","UPDATE","BEFORE","EXECUTE FUNCTION update_updated_at_column()"
"public","profiles","public","handle_updated_at","UPDATE","BEFORE","EXECUTE FUNCTION handle_updated_at()"
"public","step_completions","public","after_step_completion_change","UPDATE, INSERT, DELETE","AFTER","EXECUTE FUNCTION update_progress_on_step_completion()"
"public","user_media","public","update_user_media_updated_at","UPDATE","BEFORE","EXECUTE FUNCTION update_updated_at_column()"
"public","user_notes","public","update_user_notes_updated_at","UPDATE","BEFORE","EXECUTE FUNCTION update_updated_at_column()"
"public","users","public","protect_role_changes","UPDATE","BEFORE","EXECUTE FUNCTION check_role_update()"
"public","users","public","update_users_updated_at","UPDATE","BEFORE","EXECUTE FUNCTION update_updated_at_column()"
